"","Transect_ID","Transect_nickname","Position_along_transect_m","Sample_ID","Litter_depth_cm","pH_mean","Vial_type","percent_soil_moisture","long","lat"
"1",20.2001,"Qu.do 1(water tower)",0,20.0349,1,6.56,"SCINT",24.435318275154,120.05782,34.73695
"2",20.2001,"Qu.do 1(water tower)",2,20.0357,0.5,6.10333333333333,"TUBE UNKNOWN",28.0630401626843,120.057807333333,34.736954
"3",20.2001,"Qu.do 1(water tower)",4,20.0185,1.5,6.77,"SCINT",20.3893442622951,120.057794666667,34.736958
"4",20.2001,"Qu.do 1(water tower)",6,20.0329,1.5,6.43333333333333,"Falcon",19.9279093717817,120.057782,34.736962
"5",20.2001,"Qu.do 1(water tower)",8,20.0625,0.5,6.29,"SCINT",24.1198108250131,120.057769333333,34.736966
"6",20.2001,"Qu.do 1(water tower)",10,20.0505,1,6.23333333333333,"Falcon",21.7391304347826,120.057756666667,34.73697
"7",20.2001,"Qu.do 1(water tower)",12,20.0233,4,6.41333333333333,"Falcon",21.4214214214214,120.057744,34.736974
"8",20.2001,"Qu.do 1(water tower)",14,20.0453,5,6.26,"SCINT",19.2348008385744,120.057731333333,34.736978
"9",20.2001,"Qu.do 1(water tower)",16,20.0537,4,6.21,"SCINT",19.1576784797124,120.057718666667,34.736982
"10",20.2001,"Qu.do 1(water tower)",18,20.0577,5,6.21666666666667,"SCINT",20.4405737704918,120.057706,34.736986
"11",20.2001,"Qu.do 1(water tower)",20,20.0217,5,6.56,"SCINT",19.0108191653787,120.057693333333,34.73699
"12",20.2001,"Qu.do 1(water tower)",22,20.0321,4,5.86333333333333,"Falcon",19.8355601233299,120.057680666667,34.736994
"13",20.2001,"Qu.do 1(water tower)",24,20.0425,3.5,6.42666666666667,"SCINT",19.6189495365603,120.057668,34.736998
"14",20.2001,"Qu.do 1(water tower)",26,20.0077,9,6.23,"Falcon",21.1311053984576,120.057655333333,34.737002
"15",20.2001,"Qu.do 1(water tower)",28,20.0541,0.5,6.88,"Falcon",46.8686181075562,120.057642666667,34.737006
"16",20.2001,"Qu.do 1(water tower)",30,20.0029,0.5,6.51333333333333,"SCINT",21.4541730670763,120.05763,34.73701
"17",20.2002,"Holly Hollow",0,20.0033,0.25,6.36333333333333,"SCINT",23.2115285640762,120.05804,34.73671
"18",20.2002,"Holly Hollow",2,20.0609,2.5,6.42333333333333,"SCINT",30.4639175257732,120.058029333333,34.736698
"19",20.2002,"Holly Hollow",4,20.0289,0.5,6.32333333333333,"SCINT",24.2002063983488,120.058018666667,34.736686
"20",20.2002,"Holly Hollow",6,20.0597,NA,6.40333333333333,"SCINT",21.4358974358974,120.058008,34.736674
"21",20.2002,"Holly Hollow",8,20.0589,4,6.58,"SCINT",24.217547460236,120.057997333333,34.736662
"22",20.2002,"Holly Hollow",10,20.067,1.5,6.39333333333333,"SCINT",20.8140133951571,120.057986666667,34.73665
"23",20.2002,"Holly Hollow",12,20.0533,0.5,6.24666666666667,"SCINT",24.5360824742268,120.057976,34.736638
"24",20.2002,"Holly Hollow",14,20.0025,6,5.99,"TUBE UNKNOWN",20.7759060745278,120.057965333333,34.736626
"25",20.2002,"Holly Hollow",16,20.0521,0.25,5.73666666666667,"TUBE UNKNOWN",20.160481444333,120.057954666667,34.736614
